key,name,virtual_network_name,resource_group_key,create
vm,snet-vm,vnet-land03-spoke-vm-jpe-001,dev,true
aks,snet-aks,vnet-land03-spoke-aks-jpe-001,dev,true
private_endpoints,snet-private-endpoints,vnet-land03-spoke-ai-jpe-001,dev,true
